delta_time,x_bias,y_bias,total_sigma,rgt_corr_sigma,xy_corr_sigma
24819586.297920216,6.975051242070705,-1.4072542233196248,0.0522077873488757,0.0527235339022597,0.0436704893104027
24884608.229038317,3.902901470387566,-0.535189106602209,0.0840332762050771,0.0842660387174585,0.0544310813929999
25011864.57818965,4.056418219321604,-0.1155530419367662,0.0826950311584001,0.0829238151986642,0.0576255335673117
25147716.35130093,6.207086643836412,0.0490624684832887,0.0597584679163376,0.0598675089072048,0.055008867651517
25272150.21903792,4.797046348157406,1.1975786216075948,0.0589117841252465,0.0589588020145302,0.0554322939085449
25402271.845086016,3.8426308611441855,1.947667123575287,0.0545008315479765,0.0545401766410932,0.05039735496386
25532351.022551216,3.974136460509576,2.276789747197632,0.0546714580537674,0.055209041686707,0.0501275831237096
25665325.427530088,4.25608285676725,2.532843682581245,0.0568689553294744,0.0570337486624807,0.0510512592832178
25798248.987136003,4.672694357811884,2.635973802299172,0.055720290583879,0.0558676998094602,0.0487891185051285
25917046.104086995,4.1687302184913095,1.9793457627031048,0.0562203578021411,0.0563439873297598,0.0517356169091319
26050014.377773188,2.5972809865938795,1.3002778065750211,0.0641949664719638,0.0642430269772068,0.0523417872445607
26177336.38640047,2.6646825960616805,1.560650747149403,0.0641868144639319,0.0642613223136862,0.0502159859046208
26310257.92065868,5.25261068045621,2.41071971961357,0.054634881174874,0.0546380845489004,0.0474519050193942
26437571.948306456,4.977237809546429,2.8205736848135308,0.0567230519903689,0.056726145082292,0.0487542037661289
26570501.2058975,4.252669692048382,2.6381043410645435,0.054944957347439,0.0549738301004223,0.0483132623130745
26694988.968005534,3.615983065025091,1.92539354265564,0.0504272548619856,0.0504572199215963,0.0461693863347852
26827925.472129747,2.994825388270052,1.163384004452774,0.0491596559579245,0.0496007242649968,0.0474440511353514
26958075.51613554,2.8421161389725254,0.4669620178271189,0.0506758398996648,0.050734033039267,0.0494667353336627
27093797.424019523,3.8728739919570905,-0.0428938104916854,0.0500767728276069,0.0501367218173861,0.0479007975386468
27184350.192368258,3.915520991951501,-0.0340963723165228,0.0466841010550579,0.0467838089675024,0.0443375198796728
27345556.38412232,5.136560075048124,0.0343311828220409,0.0501474852335161,0.0501551227305143,0.0461951192775049
27486998.414300464,5.708885762643374,0.1516348618994888,0.0497312867275226,0.0497383419222316,0.044768711814574
27605801.095060334,5.604741816670089,0.32063423466783,0.0485084315783612,0.0486694313478161,0.0437701074249913
27733121.673059814,5.306882941248356,0.5529744660619258,0.0500498139611727,0.0500811673676603,0.0457681283539061
27863220.12590526,4.771654424440694,0.8002117218021778,0.0522182721279501,0.0524867338307439,0.0489844006001369
27993346.75455135,3.733888265500161,1.4941280050013253,0.0541877861034439,0.0548982418193741,0.0518054589660369
28123453.86662039,2.901578104320431,2.00825861001592,0.0520725804058835,0.0522669189885481,0.0486104867745129
28253585.82867448,2.9685176086907203,2.117756050824586,0.0497243230511513,0.0497293786665164,0.045510656104674
